"E-Value";"Positives %";"Identities %";"Score (bits)";"Score";"Length";"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"4.1e-39";"47.5";"26.2";"150.984";"380.0";"933";"CHEMBL3856168";"Clumping factor A";"Q53653";"SINGLE PROTEIN";"Staphylococcus aureus (strain Newman)";"";"";"426430";"False"
"3.1";"38.5";"26.2";"29.6462";"65.0";"561";"CHEMBL2111447";"Alpha adrenergic receptor 1A and 1D";"P23944|P43140";"SELECTIVITY GROUP";"Rattus norvegicus";"100";"103";"10116";"False"
"0.0045";"32.5";"17.8";"38.891";"89.0";"866";"CHEMBL2364709";"Fibrinogen";"P02671|P02675|P02679";"PROTEIN FAMILY";"Homo sapiens";"";"";"9606";"False"
"3.4";"43.0";"26.8";"29.6462";"65.0";"1228";"CHEMBL4630875";"P-type ATPase";"Q27724";"SINGLE PROTEIN";"Plasmodium falciparum";"";"";"5833";"False"
"4.2";"42.9";"20.0";"29.261";"64.0";"670";"CHEMBL4524014";"Phosphodiesterase PDE1";"Q01061|P14100|A0A3Q1MCV4";"PROTEIN FAMILY";"Bos taurus";"2";"6";"9913";"False"
"0.086";"40.5";"19.8";"34.6538";"78.0";"573";"CHEMBL4523390";"Plasmepsin X";"Q8IAS0";"SINGLE PROTEIN";"Plasmodium falciparum (isolate 3D7)";"3";"5";"36329";"False"
"4.5";"41.2";"21.0";"29.261";"64.0";"1512";"CHEMBL4296067";"Cyclin-dependent kinase 13/Cyclin-K";"Q14004|O75909";"PROTEIN COMPLEX";"Homo sapiens";"17";"17";"9606";"False"
"1.3";"40.3";"29.0";"30.4166";"67.0";"249";"CHEMBL4295758";"Acidic leucine-rich nuclear phosphoprotein 32 family member A";"P39687";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"1.2e-08";"39.9";"22.5";"56.9954";"136.0";"1710";"CHEMBL4523123";"Chromodomain-helicase-DNA-binding protein 1";"O14646";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"0.027";"37.8";"18.4";"36.5798";"83.0";"4374";"CHEMBL4295881";"E3 ubiquitin-protein ligase HUWE1";"Q7Z6Z7";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
