Genes	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
C9orf72	Q96LT7	CI072_HUMAN	reviewed	Guanine nucleotide exchange C9orf72	C9orf72	Homo sapiens (Human)	481
SOD1	P00441	SODC_HUMAN	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	SOD1	Homo sapiens (Human)	154
SPG11	Q96JI7	SPTCS_HUMAN	reviewed	Spatacsin (Colorectal carcinoma-associated protein) (Spastic paraplegia 11 protein)	SPG11 KIAA1840	Homo sapiens (Human)	2443
SETX	Q7Z333	SETX_HUMAN	reviewed	Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein) (SEN1 homolog) (Senataxin)	SETX ALS4 KIAA0625 SCAR1	Homo sapiens (Human)	2677
ALS2	Q96Q42	ALS2_HUMAN	reviewed	Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein)	ALS2 ALS2CR6 KIAA1563	Homo sapiens (Human)	1657
VCP	P55072	TERA_HUMAN	reviewed	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP	Homo sapiens (Human)	806
ERBB4	Q15303	ERBB4_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	ERBB4 HER4	Homo sapiens (Human)	1308
OPTN	Q96CV9	OPTN_HUMAN	reviewed	Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP)	OPTN FIP2 GLC1E HIP7 HYPL NRP	Homo sapiens (Human)	577
TARDBP	Q13148	TADBP_HUMAN	reviewed	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	Homo sapiens (Human)	414
VEGFA	P15692	VEGFA_HUMAN	reviewed	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	VEGFA VEGF	Homo sapiens (Human)	232
FUS	P35637	FUS_HUMAN	reviewed	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	FUS TLS	Homo sapiens (Human)	526
