organism,pref_name,target_type,gene_target
Homo sapiens,Superoxide dismutase,SINGLE PROTEIN,SOD1
Homo sapiens,Superoxide dismutase 1/2,PROTEIN FAMILY,SOD1
Homo sapiens,Serine/threonine-protein kinase PFTAIRE-2,SINGLE PROTEIN,ALS2
Homo sapiens,Galectin-2,SINGLE PROTEIN,ALS2
Zea mays,Acetolactate synthase,PROTEIN FAMILY,ALS2
Homo sapiens,Cyclin-dependent kinase,PROTEIN FAMILY,ALS2
Homo sapiens,STE20-related kinase adapter protein beta,SINGLE PROTEIN,ALS2
Homo sapiens,Transitional endoplasmic reticulum ATPase,SINGLE PROTEIN,VCP
Homo sapiens,Protein-lysine methyltransferase METTL21D,SINGLE PROTEIN,VCP
Mus musculus,Transitional endoplasmic reticulum ATPase,SINGLE PROTEIN,VCP
Homo sapiens,Deubiquitinating protein VCPIP1,SINGLE PROTEIN,VCP
Homo sapiens,Receptor protein-tyrosine kinase erbB-4,SINGLE PROTEIN,ERBB4
Homo sapiens,Epidermal growth factor receptor,PROTEIN FAMILY,ERBB4
Homo sapiens,TAR DNA-binding protein 43,SINGLE PROTEIN,TARDBP
Homo sapiens,Vascular endothelial growth factor A,SINGLE PROTEIN,VEGFA
Homo sapiens,C-X-C chemokine receptor type 4,SINGLE PROTEIN,FUS
Homo sapiens,C-C chemokine receptor type 5,SINGLE PROTEIN,FUS
Homo sapiens,Serine/threonine-protein kinase 36,SINGLE PROTEIN,FUS
Homo sapiens,Steroidogenic factor 1,SINGLE PROTEIN,FUS
Homo sapiens,Suppressor of fused homolog,SINGLE PROTEIN,FUS
Rattus norvegicus,C-X-C chemokine receptor type 4,SINGLE PROTEIN,FUS
Homo sapiens,BCR/ABL p210 fusion protein,SINGLE PROTEIN,FUS
Mus musculus,C-X-C chemokine receptor type 4,SINGLE PROTEIN,FUS
Macaca mulatta,C-X-C chemokine receptor type 4,SINGLE PROTEIN,FUS
Mus musculus,Steroidogenic factor 1,SINGLE PROTEIN,FUS
Homo sapiens,Far upstream element-binding protein 2,SINGLE PROTEIN,FUS
Homo sapiens,E3 ubiquitin-protein ligase TRIM33,SINGLE PROTEIN,FUS
Homo sapiens,Histone-lysine N-methyltransferase SETMAR,SINGLE PROTEIN,FUS
Homo sapiens,Vesicle-fusing ATPase,SINGLE PROTEIN,FUS
Human respiratory syncytial virus,Fusion glycoprotein F0,SINGLE PROTEIN,FUS
Homo sapiens,CCR5/mu opioid receptor complex,PROTEIN COMPLEX,FUS
Human respiratory syncytial virus A (strain A2),Fusion glycoprotein F0,SINGLE PROTEIN,FUS
Homo sapiens,Cystic fibrosis transmembrane conductance regulator/Golgi-associated PDZ and coiled-coil motif-containing protein,PROTEIN-PROTEIN INTERACTION,FUS
Homo sapiens,Septin-9,SINGLE PROTEIN,FUS
Homo sapiens,Protein AF-9,SINGLE PROTEIN,FUS
Homo sapiens,Far upstream element-binding protein 1,SINGLE PROTEIN,FUS
Mus musculus,Axin-1,SINGLE PROTEIN,FUS
Homo sapiens,Ubiquitin-60S ribosomal protein L40,SINGLE PROTEIN,FUS
Homo sapiens,Mitofusin-2,SINGLE PROTEIN,FUS
Homo sapiens,Keap1-p62,PROTEIN-PROTEIN INTERACTION,SQSTM1
Homo sapiens,Sequestosome-1,SINGLE PROTEIN,SQSTM1
Homo sapiens,Cellular tumor antigen p53,SINGLE PROTEIN,TP53
Mus musculus,Cellular tumor antigen p53,SINGLE PROTEIN,TP53
Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,PROTEIN-PROTEIN INTERACTION,TP53
Homo sapiens,TP53-regulating kinase,SINGLE PROTEIN,TP53
Homo sapiens,Ribonucleoside-diphosphate reductase RR1,PROTEIN COMPLEX GROUP,TP53
Homo sapiens,Tumour suppressor protein p53/Mdm4,PROTEIN-PROTEIN INTERACTION,TP53
Homo sapiens,Tumor suppressor p53-binding protein 1,SINGLE PROTEIN,TP53
Homo sapiens,CREB-binding protein/p53,PROTEIN-PROTEIN INTERACTION,TP53
Homo sapiens,Ribonucleotide reductase,PROTEIN COMPLEX,TP53
Homo sapiens,MDM2/MDMX-p53,PROTEIN-PROTEIN INTERACTION,TP53
Homo sapiens,Cellular tumor antigen p53/Death-associated protein kinase 1,PROTEIN-PROTEIN INTERACTION,TP53
Homo sapiens,Cellular tumor antigen p53/Peptidyl-prolyl cis-trans isomerase D,PROTEIN-PROTEIN INTERACTION,TP53
Homo sapiens,Cellular tumor antigen p53/Replication protein A 70 kDa DNA-binding subunit,PROTEIN-PROTEIN INTERACTION,TP53
